Team Member,Building ,Room,Capacity,Room Type,Moveable-Tables,Moveable-Chairs,Moveable Tablet-Desk,AV Display,Source blueray,Source d-v-d,Source v-h-s,Source doc cam,Source hdmi,Source vga,Source wirelss projection,Voice Amplification,Classroom-Computer,Video Playback,Sound System,Inter-active,BruinCast Vid,BruinCast Sound,Wireless Network,Zoom Streaming,Classroom floor plan link
Val,Public Affairs,2292,16,,1,1,,Single Projection,,1,1,,1,1,,1,1,Input Only,Media & XLR Input,,,,1,,https://ucla.box.com/s/hmpj47ao4v1cikhesh4zb39xy4m0tyyg
Val,Public Affairs,2317,28,,1,1,,Single Projection,,1,1,,1,1,,1,1,Input Only,Media & XLR Input,,,,1,,https://ucla.box.com/s/pkr9srz59kifbkw6bv6vd245a71qiz8w
Val,Public Affairs,2319,28,,1,1,,Single Projection,,1,1,,1,1,,1,1,Input Only,Media & XLR Input,,,,1,,https://ucla.box.com/s/y9ra7fw6dqifib9trtks60xnk7kj2tub
Val,Public Affairs,2325,28,,1,1,,Single Projection,,1,1,,,1,,1,1,Input Only,Media & XLR Input,,,,1,,https://ucla.box.com/s/xm85piwxlkttbxqbn5l5m0lt51o5sdo4
Val,Public Affairs,2333,28,,1,1,,Single Projection,,1,1,,,1,,1,1,Input Only,Voice & Media,,,1,1,,https://ucla.box.com/s/tv9hxliy2dtlm51ymmudt9i17fphzph4
Val,Rolfe,1200,292,Fixed Seating,,,,Single Projection,,1,,,,1,,1,1,DVD,Voice & Media,,,1,1,1,https://ucla.box.com/s/hdmc351p6pin47rmljnyaa5qzaokk1p3
Val,Rolfe,3105,35,,,,1,Single Projection,1,1,1,,1,1,,1,1,Input Only,Media & XLR Input,,,,1,,https://ucla.box.com/s/0ucoupp5vmmixv0m0vgyx9d697louwyn
Val,Rolfe,3108,36,,1,1,,Single Projection,1,1,1,,1,1,,1,1,Input Only,Media & XLR Input,,,,1,,https://ucla.box.com/s/wzueil0f32eoigm81d2synwogftbrn44
Val,Rolfe,3115,16,,1,1,,Single Projection,1,1,1,,1,1,,1,1,Input Only,Media & XLR Input,,,,1,,https://ucla.box.com/s/e49275p9hx4u9qcgd3ga3bevbl6oy5us
Val,Rolfe,3116,36,,1,1,,Single Projection,1,1,1,,1,1,,1,1,Input Only,Media & XLR Input,,,,1,,https://ucla.box.com/s/nl9du7upn7vd5cgd5ji9sdy4xtimoekw
