Team Member,Building ,Room,Capacity,Room Type,Moveable-Tables,Moveable-Chairs,Moveable Tablet-Desk,AV Display,Source blueray,Source d-v-d,Source v-h-s,Source doc cam,Source hdmi,Source vga,Source wirelss projection,Voice Amplification,Classroom-Computer,Video Playback,Sound System,Inter-active,BruinCast Vid,BruinCast Sound,Wireless Network,Zoom Streaming,Classroom floor plan link
Michala,Boelter,5514,14,,,1,,Single Projection,,,,,1,1,,,,Input Only,Media Only,,,,1,,https://ucla.box.com/s/a9yzkc9ufeceeixcj8yqt2xazjwbfa0v
Michala,Boelter,9436,47,Fixed Seating,,,,Single Projection,,,,,1,1,,1,1,Input Only,Voice & Media,,,,1,1,https://ucla.box.com/s/m4pq4qqemdyhkhbannaytn5466cx82vt
Michala,Broad,2100A,83,Fixed Seating,,,,Single Projection,,,,,,1,,1,1,Input Only,Media Only,,,1,1,1,https://ucla.box.com/s/mu8scaf8m41t6s9972mf63nm8u8o9ich
Michala,Broad,2160E,406,Fixed Seating,,,,Single Projection,,,,,,1,,1,,,,,1,1,1,1,https://ucla.box.com/s/rs4jj6fskurqnernqh3h6h4f6lmtawax
Michala,Bunche,1209B,221,Fixed Seating,,,,Multiple Projection,1,1,,1,1,,,1,,,Voice & Media,,1,1,1,1,https://ucla.box.com/s/ode4rfp9ikotgsle9fummlwp868agmf5
Michala,Bunche,1221A,34,Fixed Seating,,,,Single Projection,,,,,,1,,,1,,Media & XLR input,,,,1,,https://ucla.box.com/s/s1dqilcd37y9q1rv762r7xp1rvbzoy9n
Michala,Bunche,1265,16,,1,1,,Single Projection,1,1,,1,1,1,,,1,,Media Only,,,,1,1,https://ucla.box.com/s/5lvkxgq9g94jf3pw0dfvsmdfmpzarc06
Michala,Bunche,2121,16,,1,1,,Single Projection,,,,,,1,,,1,Input Only,Media Only,,,,1,1,https://ucla.box.com/s/kq3vvs12yxvonbn5qkeguplyjtxv5gt9
Michala,Bunche,2150,16,,1,1,,Single Projection,,,,,,1,,,1,Input Only,Media Only,,,,1,1,https://ucla.box.com/s/60cz36q3wr8ooil2bamywzqic5hd77vi
Michala,Bunche,2156,28,,,,1,Single Projection,,1,1,,,1,,1,1,Input Only,,,,,1,,https://ucla.box.com/s/sniltuydyspo45alhhmq6odboba711nv
Michala,Bunche,2160,40,Fixed Seating,,,,Single Projection,,,,,,1,,1,1,Input Only,Voice & Media,,,,1,1,https://ucla.box.com/s/qjm61ug8vrggne4sg3yj3g43f7mki8xq
Michala,Bunche,2168,28,,,,1,Single Projection,,,,,,1,,,1,Input Only,Media Only,,,,1,1,https://ucla.box.com/s/07resv3latkfo0650tju5gsx0ffd1wa0
Michala,Bunche,2173,16,,1,1,,Single Projection,,,,,,1,,,1,Input Only,Media Only,,,,1,1,https://ucla.box.com/s/ba8c4d0wdsu46o3d8fty9uglhlilwdmq
Michala,Bunche,2174,16,,1,1,,Single Projection,,,,,,1,,,1,Input Only,Media Only,,,,1,1,https://ucla.box.com/s/12tqciqsh903lculxg48mu1aiwidnhqo
Michala,Bunche,2178,38,Fixed Seating,,,,Single Projection,,,,,,1,,,1,Input Only,Media & XLR input,,,,1,1,https://ucla.box.com/s/tp13zol5azn8keaetvo96zs41cz6tlw3
Michala,Bunche,2181,26,,,,1,Single Projection,,,,,,1,,,1,Input Only,Media Only,,,,1,1,https://ucla.box.com/s/5zc2zgwf0pkmc2yl43vhgnd7w72xgybw
Michala,Bunche,3117,27,Fixed Seating,,,,Single Projection,,,,,,1,,,1,Input Only,Media Only,,,,1,1,https://ucla.box.com/s/coshnse9krl1wox5by32d8vwu0en5rfc
Michala,Bunche,3123,26,Fixed Seating,,,,Single Projection,,,,,,1,,,1,Input Only,Media & XLR input,,,,1,,https://ucla.box.com/s/j6jcv9r6in96b85fun2p0lxzdfh0cbwr
Michala,Bunche,3143,37,Fixed Seating,,,,Single Projection,,,,,,1,,,1,Input Only,Media & XLR input,,,,1,,https://ucla.box.com/s/tzugyypt8enxz9igp9iwm9av917f4wqy
Michala,Bunche,3150,36,Fixed Seating,,,,Single Projection,,,,,,1,,,1,Input Only,Media Only,,,,1,1,https://ucla.box.com/s/rvbdxxm6vpe7bepgc6thzrnu3hcc2zy9
Michala,Bunche,3153,36,Fixed Seating,,,,Single Projection,,,,,,1,,,1,Input Only,Media & XLR input,,,,1,,https://ucla.box.com/s/i493xojb3vkjxxdeok1hzf8dnaka8ci5
Michala,Bunche,3156,40,Fixed Seating,,,,Single Projection,,,,,,1,,1,1,Input Only,Voice & Media,,,,1,1,https://ucla.box.com/s/11u3o9ut02dw2s4pp1mmnz23qniflq5e
Michala,Bunche,3157,41,Fixed Seating,,,,Single Projection,,,,,,1,,1,1,Input Only,Voice & Media,,,,1,1,https://ucla.box.com/s/dbgib2dpob2wf8cheog8p1vxgk2lfbka
Michala,Bunche,3164,40,Fixed Seating,,,,Single Projection,,,,,,1,,1,1,Input Only,Voice & Media,,,,1,1,https://ucla.box.com/s/pczw8a18703nfxb2p0vtterxqq2q2ovh
